"officialFeatureId";"id";"lavNumber";"name";"type";"result";"score";"distanceM";"nameScore";"groupSize";"winnerMargin";"tier";"reason"
"Watercourse_DESTGEOT00005hGj_lin";"6-111-13-saale-von-einmundung-der-fuhne-bis";"6-111-13";"Saale von Einmündung der Fuhne bis";"Fließgewässer";"review";"0.692";"9.8";"0.000";"6";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 6 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"Watercourse_DESTGEOT00005hGj_lin";"8-250-12-neugraben-von-landesgrenze-bis";"8-250-12";"Neugraben von Landesgrenze bis";"Fließgewässer";"review";"0.692";"9.8";"0.000";"6";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 6 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"Watercourse_DESTGEOT00005hGj_lin";"8-250-13-landlache-vom-plossiger-graben-bis";"8-250-13";"Landlache vom Plossiger Graben bis";"Fließgewässer";"review";"0.692";"9.8";"0.000";"6";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 6 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"Watercourse_DESTGEOT00005hGj_lin";"9-150-15-mittelgraben-v-stollengraben-bis";"9-150-15";"Mittelgraben v. Stollengraben bis";"Fließgewässer";"review";"0.692";"9.8";"0.000";"6";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 6 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"Watercourse_DESTGEOT00005hGj_lin";"11-482-05-flograben-von-lg-thuringen-bis";"11-482-05";"Floßgraben von LG Thüringen bis";"Fließgewässer";"review";"0.692";"9.8";"0.000";"6";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 6 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002e7i";"6-400-01-schacht-9-bei-eggersdorf";"6-400-01";"Schacht 9 bei Eggersdorf";"See";"review";"0.548";"59.8";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002e7i";"6-400-43-schachtteich-eggersdorf";"6-400-43";"Schachtteich Eggersdorf";"Teich";"review";"0.548";"59.8";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002e7d";"6-400-05-parkteich-bei-brumby";"6-400-05";"Parkteich bei Brumby";"Teich";"review";"0.706";"48.7";"0.450";"2";"0.706";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002e7d";"6-400-39-tilsschacht-brumby";"6-400-39";"Tilsschacht Brumby";"See";"review";"0.000";"584.5";"0.000";"2";"0.706";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOTR100fHY8";"6-400-13-beamtenteich-bei-tornitz";"6-400-13";"Beamtenteich bei Tornitz";"Teich";"review";"0.000";"476.9";"0.000";"4";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 4 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
