"officialFeatureId";"id";"lavNumber";"name";"type";"result";"tier";"distanceM";"nameScore";"candidateCount";"gapM";"featureUseCount";"groupMargin";"reason"
"Watercourse_DESTGEOT00002JQJ_pol";"13-280-03-rothenseer-verbindungskanal";"13-280-03";"Rothenseer Verbindungskanal";"Fließgewässer";"review";"v112-flow-review";"4.0";"0.000";"10";"0.0";"1";"1.000";"Fließgewässer erfüllt die strengen v11.2-Kriterien nicht."
"StandingWater_DESTGEOT00002hHQ";"13-280-20-baggerloch-an-der-sulzewiese";"13-280-20";"Baggerloch an der Sülzewiese";"See";"review";"v112-review";"44.4";"0.000";"4";"477.8";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00002lMA";"13-280-31-barrosee-dreieck";"13-280-31";"Barrosee Dreieck";"See";"review";"v112-review";"33.8";"0.438";"13";"52.2";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOTR100hvuI";"13-280-33-ruckhaltebecken-diesdorfer-graseweg";"13-280-33";"Rückhaltebecken Diesdorfer Graseweg";"See";"review";"v112-review";"763.1";"0.000";"1";"9999.0";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00002EVk";"13-280-34-steinfohr-randau-calenberge";"13-280-34";"Steinföhr Randau-Calenberge";"See";"review";"v112-review";"449.8";"0.000";"1";"9999.0";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00002Zme";"13-282-01-hohmann-s-badelauben-kleiner-see";"13-282-01";"Hohmann´s Badelauben - Kleiner See";"See";"review";"v112-review";"16.9";"0.355";"11";"53.0";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"Watercourse_DESTGEOTR100cju4_lin";"14-210-01-saalealtarm-hohenweiden";"14-210-01";"Saalealtarm Hohenweiden";"Fließgewässer";"review";"v112-flow-review";"112.8";"0.000";"20";"13.3";"1";"1.000";"Fließgewässer erfüllt die strengen v11.2-Kriterien nicht."
"StandingWater_DESTGEOT00004Gw6";"14-210-03-kleines-posthorn-rechtsseitig";"14-210-03";"Kleines Posthorn rechtsseitig";"See";"review";"v112-review";"125.4";"0.000";"2";"51.9";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00003jAD";"14-210-06-pfarrteich-seeben";"14-210-06";"Pfarrteich Seeben";"Teich";"review";"v112-review";"214.8";"0.000";"2";"2.4";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"Watercourse_DESTGEOTR100cCq4_lin";"14-210-12-untere-aue-neuer-kanal";"14-210-12";"Untere Aue (Neuer Kanal)";"Fließgewässer";"review";"v112-flow-review";"106.1";"0.000";"7";"130.6";"1";"1.000";"Fließgewässer erfüllt die strengen v11.2-Kriterien nicht."
"Watercourse_DESTGEOT00000rNl_pol";"14-210-16-saale-von-straenbrucke-b-91";"14-210-16";"Saale von Straßenbrücke B 91";"Fließgewässer";"review";"v112-flow-review";"26.7";"0.000";"13";"83.7";"1";"1.000";"Fließgewässer erfüllt die strengen v11.2-Kriterien nicht."
"Watercourse_DESTGEOT00002Lpy_pol";"14-210-17-umgehungskanal-halle-alter-kanal";"14-210-17";"Umgehungskanal Halle (Alter Kanal)";"Fließgewässer";"review";"v112-flow-review";"465.4";"0.000";"22";"9.6";"1";"1.000";"Fließgewässer erfüllt die strengen v11.2-Kriterien nicht."
