"id";"lavNumber";"name";"type";"result";"tier";"officialFeatureId";"distanceM";"candidateCount";"nameScore";"gapM";"featureUseCount";"reason"
"10-290-17-schenkteich-in-zweimen";"10-290-17";"Schenkteich in Zweimen";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT00004y54";"100.7";"4";"0";"11.3";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"10-290-20-kuhteich-feldsee-bei-wallendorf";"10-290-20";"Kuhteich (Feldsee) bei Wallendorf";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT00004y4I";"62.5";"2";"0";"430.2";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"10-290-45-teich-in-rampitz";"10-290-45";"Teich in Rampitz";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT00004vkd";"101.5";"2";"0";"313.8";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"10-353-04-muhlenteich-in-schmon";"10-353-04";"Mühlenteich in Schmon";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT000007mr";"430.9";"1";"0";"9999";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"10-370-09-steinbruch-bei-niemberg";"10-370-09";"Steinbruch bei Niemberg";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT00004Ime";"289";"3";"0";"33.9";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"10-370-10-lauterbachsloch-ii-bei-gimritz";"10-370-10";"Lauterbachsloch II bei Gimritz";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT00002Qq7";"78.6";"1";"0";"9999";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"10-370-11-tonloch-bei-teicha";"10-370-11";"Tonloch bei Teicha";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT00002Qqo";"526.5";"1";"0";"9999";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"10-370-12-blaues-tonloch-bei-salzmunde";"10-370-12";"Blaues Tonloch bei Salzmünde";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT00002sF7";"74.1";"2";"0";"37.8";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"10-370-22-kiestagebau-bei-plotz";"10-370-22";"Kiestagebau bei Plötz";"Kiesgrube";"review";"v102-standing-review";"StandingWater_DESTGEOTR1009agP";"268.1";"2";"0";"427.1";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"10-370-44-teiche-am-wasserwerk";"10-370-44";"Teiche am Wasserwerk";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT00002hHK";"515.2";"1";"0";"9999";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"11-240-02-auensee-bei-granschutz";"11-240-02";"Auensee bei Granschütz";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT00004tcA";"581.7";"1";"0.318";"9999";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"11-241-06-tagebaurestloch-kamerad-bei-dobris";"11-241-06";"Tagebaurestloch Kamerad bei Döbris";"Kiesgrube";"review";"v102-standing-review";"StandingWater_DESTGEOTR1009quC";"24.4";"2";"0";"673.4";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"11-300-03-grubenteich-bei-neidschutz";"11-300-03";"Grubenteich bei Neidschütz";"Kiesgrube";"review";"v102-standing-review";"StandingWater_DESTGEOT00000dPB";"255.3";"2";"0";"105.1";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"11-310-01-unstrutaltarm-bei-memleben";"11-310-01";"Unstrutaltarm bei Memleben/";"Fließgewässer";"review";"v102-flow-review";"Watercourse_DESTGEOT000004Lc_lin";"186.2";"11";"0";"132.7";"1";"Fließgewässer bleibt ohne starkes Namenssignal im Review."
"11-310-04-unstrutflutkanal-von-landesgrenze";"11-310-04";"Unstrutflutkanal von Landesgrenze";"Fließgewässer";"review";"v102-flow-review";"Watercourse_DESTGEOT00001jvY_lin";"10.8";"9";"0";"147.5";"1";"Fließgewässer bleibt ohne starkes Namenssignal im Review."
"11-443-01-saale-von-kleinkorbetha-bis-einlauf";"11-443-01";"Saale von Kleinkorbetha bis Einlauf";"Fließgewässer";"review";"v102-flow-review";"Watercourse_DESTGEOTR1008lb2_lin";"76.6";"6";"0";"97.1";"1";"Fließgewässer bleibt ohne starkes Namenssignal im Review."
"12-140-10-die-bach-hofsee-bei-kleutsch";"12-140-10";"Die Bach (Hofsee) bei Kleutsch";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT0000fN0c";"135.9";"3";"0";"179.8";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"13-280-08-erdkuhle-bei-rothensee";"13-280-08";"Erdkuhle bei Rothensee";"See";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00001LaL";"469.6";"1";"0";"9999";"2";"Dasselbe amtliche Feature wird von 2 neuen Reviews beansprucht; keine automatische Freigabe."
"13-280-14-4-kolke-am-klusdamm";"13-280-14";"4 Kolke am Klusdamm";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT00002hHM";"385.2";"2";"0";"170.5";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"13-280-21-baggerloch-kelterer-bei-rothensee";"13-280-21";"Baggerloch Kelterer bei Rothensee";"See";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00001LaL";"469.6";"1";"0";"9999";"2";"Dasselbe amtliche Feature wird von 2 neuen Reviews beansprucht; keine automatische Freigabe."
"13-280-25-obere-vorhafen-von-elb-km-330-331-2-b-bl-pl-z-1-20-sudliche-schleusenkammer";"13-280-25";"Obere Vorhäfen von Elb-km 330- 331,2 B, Bl, Pl, Z 1,20 (südliche Schleusenkammer)";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT00004dJe";"22.6";"7";"0";"95.7";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"14-210-09-kalksteinbruch-in-neustadt";"14-210-09";"Kalksteinbruch in Neustadt";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT00001Qv1";"289.3";"1";"0";"9999";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"14-210-14-hufeisensee-in-kanena";"14-210-14";"Hufeisensee in Kanena";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT00004GvO";"349.5";"5";"0";"183";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"14-210-20-teich-am-passendorfer-damm";"14-210-20";"Teich am Passendorfer Damm";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT00002KOO";"209.3";"5";"0";"176";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"14-210-22-cobra-in-bruckdorf";"14-210-22";"Cobra in Bruckdorf";"See";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00004GvW";"462.2";"3";"0";"146.8";"3";"Dasselbe amtliche Feature wird von 3 neuen Reviews beansprucht; keine automatische Freigabe."
"14-210-23-tongrube-in-bruckdorf";"14-210-23";"Tongrube in Bruckdorf";"Kiesgrube";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00004GvW";"462.2";"3";"0";"146.8";"3";"Dasselbe amtliche Feature wird von 3 neuen Reviews beansprucht; keine automatische Freigabe."
"14-210-24-unsere-rast-in-bruckdorf";"14-210-24";"Unsere Rast in Bruckdorf";"See";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00004GvW";"462.2";"3";"0";"146.8";"3";"Dasselbe amtliche Feature wird von 3 neuen Reviews beansprucht; keine automatische Freigabe."
