"id";"lavNumber";"name";"type";"result";"locality";"distanceM";"officialName";"candidateCount";"nameScore";"gapM";"reason"
"6-400-22-elbe-von-km-305-km-320-beidseitig";"6-400-22";"Elbe von km 305 - km 320 beidseitig";"Fließgewässer";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-400-25-elbumflut-von-alte-fahre-bis";"6-400-25";"Elbumflut von Alte Fähre bis";"See";"review";"Alte Fähre";"56.9";"";"4";"0.000";"212.9";"Neuer Ortsanker 'Alte Fähre' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"6-400-32-3-locher-bei-ranies";"6-400-32";"3 Löcher bei Ranies";"See";"review";"Ranies";"207.6";"";"4";"0.000";"185.3";"Neuer Ortsanker 'Ranies' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"6-400-35-elbealtarm-grunewalde";"6-400-35";"Elbealtarm Grünewalde";"Fließgewässer";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-400-40-awg-seen-1-2-und-3-gommern-plotzky";"6-400-40";"AWG Seen 1, 2 und 3 Gommern-Plötzky";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-400-45-gotzenthiegraben";"6-400-45";"Götzenthiegraben";"Fließgewässer";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-400-46-westufer-albertinensee";"6-400-46";"Westufer Albertinensee";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-401-01-bruch-1-bei-breitenhagen";"6-401-01";"Bruch 1 bei Breitenhagen";"See";"review";"Breitenhagen";"624.1";"";"2";"0.000";"78.2";"Neuer Ortsanker 'Breitenhagen' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"6-402-04-kiesgrube-barby-sud";"6-402-04";"Kiesgrube Barby-Süd";"Kiesgrube";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-402-07-saale-von-werkleitz-bis-elbmundung";"6-402-07";"Saale von Werkleitz bis Elbmündung";"Fließgewässer";"review";"Werkleitz";"65.1";"";"7";"0.000";"132.0";"Neuer Ortsanker 'Werkleitz' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
