"id";"lavNumber";"name";"type";"result";"tier";"officialFeatureId";"officialDistanceM";"officialName";"officialCandidateCount";"nameScore";"distanceGapM";"featureUseCount";"reason"
"5-340-02-bergrat-muller-teich-bei-gernrode";"5-340-02";"Bergrat-Müller Teich bei Gernrode";"Teich";"review";"v71-no-official-feature";"";"593.1";"Hagenteich";"3";"0.000";"135.8";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-340-03-neuer-teich-bei-gernrode";"5-340-03";"Neuer Teich bei Gernrode";"Teich";"review";"v71-no-official-feature";"";"593.1";"Hagenteich";"3";"0.000";"135.8";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-340-06-hauptseegraben-von-kreisgrenze";"5-340-06";"Hauptseegraben von Kreisgrenze";"Fließgewässer";"review";"v71-no-official-feature";"";"120";"";"3";"0.000";"169.7";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-340-11-kleiner-siebersteinsteich-bei-ballenstedt-b-h-k-pl-s-z-1-80";"5-340-11";"Kleiner Siebersteinsteich bei Ballenstedt B, H, K, Pl, S, Z 1,80";"Teich";"review";"v71-no-official-feature";"";"448.2";"Neuer Teich";"3";"0.000";"356.2";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-340-12-gondelteich-in-friedrichsbrunn";"5-340-12";"Gondelteich in Friedrichsbrunn";"Teich";"review";"v71-no-official-feature";"";"305.1";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-340-13-selke-von-kreisgrenze";"5-340-13";"Selke von Kreisgrenze";"Fließgewässer";"review";"v71-no-official-feature";"";"0.3";"";"3";"0.000";"3.7";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-340-14-gondelteich-thale";"5-340-14";"Gondelteich Thale";"Teich";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-340-15-glockenteich-ballenstedt";"5-340-15";"Glockenteich Ballenstedt";"Teich";"review";"v71-no-official-feature";"";"448.2";"Neuer Teich";"3";"0.000";"356.2";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-340-16-flottenteich-weddersleben";"5-340-16";"Flottenteich Weddersleben";"Teich";"review";"v71-no-official-feature";"";"674.6";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-340-18-kiessandtagebau-ditfurt-ii";"5-340-18";"Kiessandtagebau Ditfurt II";"Kiesgrube";"review";"v71-no-official-feature";"";"1111.9";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-340-19-petersstichel-thale";"5-340-19";"Petersstichel Thale";"See";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-340-20-muhlgraben-thale-0-25";"5-340-20";"Mühlgraben Thale 0,25";"Fließgewässer";"review";"v71-no-official-feature";"";"215.6";"";"4";"0.000";"11";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-340-22-schloteich-ballenstedt";"5-340-22";"Schloßteich Ballenstedt";"Teich";"review";"v71-no-official-feature";"";"448.2";"Neuer Teich";"3";"0.000";"356.2";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"5-450-02-groer-schachtteich-bei-wienrode";"5-450-02";"Großer Schachtteich bei Wienrode";"Teich";"review";"v71-no-official-feature";"";"76.1";"Schachtteich";"3";"0.364";"42.3";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
