"id";"lavNumber";"name";"type";"status";"latitude";"longitude";"osmConfidence";"officialDistanceM";"officialName";"officialFeatureId";"officialType";"officialCandidateCount";"nameScore";"distanceGapM";"reason"
"9-390-25-teich-in-beyernaumburg-othal";"9-390-25";"Teich in Beyernaumburg/Othal";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-390-28-toter-helmearm-bei-bennungen";"9-390-28";"Toter Helmearm bei Bennungen";"See";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-390-29-alte-kiesgrube-katarienenrieth";"9-390-29";"Alte Kiesgrube Katarienenrieth";"Kiesgrube";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-390-32-stausee-kelbra";"9-390-32";"Stausee Kelbra";"See";"review";"51.4390267";"11.0361459";"0.856";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"10-210-01-kiesgrube-in-rattmannsdorf";"10-210-01";"Kiesgrube in Rattmannsdorf";"Kiesgrube";"review";"51.416118";"11.9547373";"0.839";"50";"";"StandingWater_DESTGEOT00000ryH";"StandingWater";"5";"0";"34.7";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"10-210-02-kiesgrube-gansteich-zwintschona";"10-210-02";"Kiesgrube (Gänsteich) Zwintschöna";"Kiesgrube";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-210-03-friedrichsbad-in-zwintschona";"10-210-03";"Friedrichsbad in Zwintschöna";"See";"review";"51.4499103";"12.0488239";"0.888";"66.5";"";"StandingWater_DESTGEOT00004Gvn";"StandingWater";"3";"0";"217.5";"Amtliche HY-P-Geometrie liegt nahe am OSM-Kandidaten, aber nicht eindeutig genug für automatische Freigabe."
"10-210-04-dorfteich-in-zwintschona";"10-210-04";"Dorfteich in Zwintschöna";"Teich";"review";"51.4499103";"12.0488239";"0.888";"66.5";"";"StandingWater_DESTGEOT00004Gvn";"StandingWater";"3";"0";"217.5";"Amtliche HY-P-Geometrie liegt nahe am OSM-Kandidaten, aber nicht eindeutig genug für automatische Freigabe."
"10-210-05-muhlteich-in-zwintschona";"10-210-05";"Mühlteich in Zwintschöna";"Teich";"review";"51.4499103";"12.0488239";"0.888";"66.5";"";"StandingWater_DESTGEOT00004Gvn";"StandingWater";"3";"0";"217.5";"Amtliche HY-P-Geometrie liegt nahe am OSM-Kandidaten, aber nicht eindeutig genug für automatische Freigabe."
"10-210-06-kiesgrube-rockendorf-bei-hohenweiden";"10-210-06";"Kiesgrube Rockendorf bei Hohenweiden";"Kiesgrube";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-210-07-kiesgrube-in-ropzig";"10-210-07";"Kiesgrube in Röpzig";"Kiesgrube";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-210-08-wallendorfer-see-aktuelle";"10-210-08";"Wallendorfer See - Aktuelle";"See";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-210-10-dorfteich-plonitz";"10-210-10";"Dorfteich Plößnitz";"Teich";"review";"51.5348193";"12.0593357";"0.912";"330.6";"";"StandingWater_DESTGEOT00004Im9";"StandingWater";"1";"0";"9999";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"10-210-11-dorfteich-hohenthurm";"10-210-11";"Dorfteich Hohenthurm";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-290-03-krugs-teich-in-schafstadt";"10-290-03";"Krugs Teich in Schafstädt";"Teich";"review";"51.3828756";"11.7752528";"0.925";"276.3";"";"StandingWater_DESTGEOT00000jts";"StandingWater";"2";"0";"14.6";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"10-290-05-gr-und-kl-muhlteich-schkopau";"10-290-05";"Gr. und Kl. Mühlteich Schkopau";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
