"id";"lavNumber";"name";"district";"status";"candidateSource";"candidateLatitude";"candidateLongitude";"confidence";"note"
"10-370-31-parkteiche-ostrau";"10-370-31";"Parkteiche Ostrau";"Saalekreis";"review";"two-source-v6.2-review";"51.6178648";"12.0093228";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-32-steinbruch-ostrau";"10-370-32";"Steinbruch Ostrau";"Saalekreis";"review";"two-source-v6.2-review";"51.6200395";"12.0124822";"0.886";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-33-seilbahn-iii-u-ii-bei-morl";"10-370-33";"Seilbahn III u. II bei Morl";"Saalekreis";"review";"two-source-v6.2-review";"51.5473413";"11.906682";"0.879";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-38-dorfteich-schwerz";"10-370-38";"Dorfteich Schwerz";"Saalekreis";"review";"two-source-v6.2-review";"51.5643161";"12.1333133";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-39-dorfteich-dammendorf";"10-370-39";"Dorfteich Dammendorf";"Saalekreis";"review";"two-source-v6.2-review";"51.5760404";"12.1303852";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-40-teich-im-industriegebiet-sietzsch";"10-370-40";"Teich im Industriegebiet Sietzsch";"Saalekreis";"review";"two-source-v6.2-review";"51.4896334";"12.1771607";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-41-dorfteich-lohnsdorf";"10-370-41";"Dorfteich Lohnsdorf";"Saalekreis";"review";"two-source-v6.2-review";"51.4987534";"12.1713851";"0.924";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-44-teiche-am-wasserwerk";"10-370-44";"Teiche am Wasserwerk";"Saalekreis";"review";"two-source-v6.2-review";"52.1027995";"11.651089";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-45-teich-am-rodelberg";"10-370-45";"Teich am Rodelberg";"Saalekreis";"review";"two-source-v6.2-review";"51.7971634";"12.2597306";"0.928";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-49-goethebruch-petersberg";"10-370-49";"Goethebruch Petersberg";"Saalekreis";"review";"two-source-v6.2-review";"51.5967194";"11.953037";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-51-napresse-dollnitz";"10-370-51";"Naßpresse Döllnitz";"Saalekreis";"review";"two-source-v6.2-review";"51.4088558";"12.0483502";"0.854";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-52-entenfang-bei-langenbogen";"10-370-52";"Entenfang bei Langenbogen";"Saalekreis";"review";"two-source-v6.2-review";"51.4848343";"11.7610091";"0.838";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-54-webersche-sandgrube-beidersee";"10-370-54";"Webersche Sandgrube Beidersee";"Saalekreis";"review";"two-source-v6.2-review";"51.5655497";"11.9046284";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-371-01-muhlteich-krosigk";"10-371-01";"Mühlteich Krosigk";"Saalekreis";"review";"two-source-v6.2-review";"51.6105779";"11.9338775";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-240-02-auensee-bei-granschutz";"11-240-02";"Auensee bei Granschütz";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.1834255";"12.0537508";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-240-03-vollert-bei-trebnitz";"11-240-03";"Vollert bei Trebnitz";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.0932918";"12.0750421";"0.834";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-240-04-restloch-tornau";"11-240-04";"Restloch Tornau";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.1905176";"12.1483066";"0.838";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-240-05-klarteich-taucha";"11-240-05";"Klärteich Taucha";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.1932556";"12.0790202";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-240-06-feuerloschteich-gerstewitz";"11-240-06";"Feuerlöschteich Gerstewitz";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.1920387";"12.0228088";"0.806";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-241-02-mondsee-pirkau-bei-hohenmolsen";"11-241-02";"Mondsee Pirkau bei Hohenmölsen";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.1528562";"12.1022227";"0.845";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-241-04-eisensee-bei-hohenmolsen";"11-241-04";"Eisensee bei Hohenmölsen";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.1528562";"12.1022227";"0.845";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-241-05-an-der-einheit-bei-grimma";"11-241-05";"An der Einheit bei Grimma";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.6212986";"10.9471595";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-241-06-tagebaurestloch-kamerad-bei-dobris";"11-241-06";"Tagebaurestloch Kamerad bei Döbris";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.1108548";"12.1246208";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-300-01-parkteich-zu-grojena";"11-300-01";"Parkteich zu Großjena";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.1881542";"11.7884486";"0.914";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-300-02-baggerteich-in-naumburg";"11-300-02";"Baggerteich in Naumburg";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.1557146";"11.8088372";"0.881";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-300-03-grubenteich-bei-neidschutz";"11-300-03";"Grubenteich bei Neidschütz";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.1030049";"11.8064088";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-300-07-kl-saale-v-bad-kosen-b-almrich";"11-300-07";"Kl. Saale v. Bad Kösen b. Almrich";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.1511353";"11.7851963";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-300-08-herren-und-bauernteich-in";"11-300-08";"Herren- und Bauernteich in";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.2097205";"11.7686241";"0.895";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-310-01-unstrutaltarm-bei-memleben";"11-310-01";"Unstrutaltarm bei Memleben/";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.2646037";"11.4914523";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-310-02-toter-arm-bei-nebra";"11-310-02";"Toter Arm bei Nebra";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.28326";"11.5840475";"0.845";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-310-04-unstrutflutkanal-von-landesgrenze";"11-310-04";"Unstrutflutkanal von Landesgrenze";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.690096";"11.2193439";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-310-05-unstrut-von-landesgrenze-thuringen";"11-310-05";"Unstrut von Landesgrenze Thüringen";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.8826486";"11.7973263";"0.789";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-440-01-tagebaurestloch-bei-gostau";"11-440-01";"Tagebaurestloch bei Gostau";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.2353894";"12.1158912";"0.8";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-440-02-saale-von-eisenbahnbrucke-bei-eulau";"11-440-02";"Saale von Eisenbahnbrücke bei Eulau";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.1825493";"11.8561033";"0.892";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-440-03-teich-im-rieth-schkortleben";"11-440-03";"Teich im Rieth Schkortleben";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.2437139";"12.0067197";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-440-05-alter-saalearm-uichteritz";"11-440-05";"Alter Saalearm Uichteritz";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.1844322";"11.9072087";"0.771";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-441-01-meuchener-teich";"11-441-01";"Meuchener Teich";"Burgenlandkreis";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"11-443-01-saale-von-kleinkorbetha-bis-einlauf";"11-443-01";"Saale von Kleinkorbetha bis Einlauf";"Burgenlandkreis";"review";"two-source-v6.2-review";"51.256011";"12.0440173";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"11-443-02-alte-saale-tebnitz-nsg-beachten";"11-443-02";"Alte Saale Tebnitz – NSG beachten!";"Burgenlandkreis";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
