"id";"lavNumber";"name";"type";"result";"tier";"officialFeatureId";"officialDistanceM";"officialCandidateCount";"distanceGapM";"featureUseCount";"reason"
"2-422-14-hafenbecken-tangermunde";"2-422-14";"Hafenbecken Tangermünde";"See";"review";"v72-conflict";"StandingWater_DESTGEOT0000eh5b";"105.1";"1";"9999";"4";"Amtliches Feature wird von 4 LAV-Einträgen beansprucht; bleibt Review."
"2-423-02-bucher-kl-lanke";"2-423-02";"Bucher kl. Lanke";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00004gNc";"187";"1";"9999";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"2-423-03-bucher-lanke";"2-423-03";"Bucher Lanke";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00004gNc";"187";"1";"9999";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"2-426-01-jaeneckes-teiche-bei-stendal";"2-426-01";"Jaeneckes Teiche bei Stendal";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT000045Tt";"188.6";"1";"9999";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"3-200-01-sieben-insel-teich-in-flechtingen";"3-200-01";"Sieben-Insel-Teich in Flechtingen";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT0000eb6i";"35.8";"3";"205.5";"5";"Amtliches Feature wird von 5 LAV-Einträgen beansprucht; bleibt Review."
"3-200-02-holzmuhlenteich-in-flechtingen";"3-200-02";"Holzmühlenteich in Flechtingen";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT0000eb6i";"35.8";"3";"205.5";"5";"Amtliches Feature wird von 5 LAV-Einträgen beansprucht; bleibt Review."
"3-200-03-muhlenteich-flechtingen";"3-200-03";"Mühlenteich Flechtingen";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT0000eb6i";"35.8";"3";"205.5";"5";"Amtliches Feature wird von 5 LAV-Einträgen beansprucht; bleibt Review."
"3-200-04-schloteich-in-flechtingen";"3-200-04";"Schloßteich in Flechtingen";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT0000eb6i";"101.8";"4";"67.2";"5";"Amtliches Feature wird von 5 LAV-Einträgen beansprucht; bleibt Review."
"3-200-06-muhlenteich-flechtingen";"3-200-06";"Mühlenteich Flechtingen";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT0000eb6i";"35.8";"3";"205.5";"5";"Amtliches Feature wird von 5 LAV-Einträgen beansprucht; bleibt Review."
"3-200-09-nachtwiese-bei-bebertal";"3-200-09";"Nachtwiese bei Bebertal";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00001LaJ";"426.6";"2";"46.8";"4";"Amtliches Feature wird von 4 LAV-Einträgen beansprucht; bleibt Review."
"3-200-10-haidteich-bei-bebertal";"3-200-10";"Haidteich bei Bebertal";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00001LaJ";"426.6";"2";"46.8";"4";"Amtliches Feature wird von 4 LAV-Einträgen beansprucht; bleibt Review."
"3-200-11-steinbruche-nordhusen";"3-200-11";"Steinbrüche Nordhusen";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00001LLT";"301.9";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"3-200-13-hofteich-bodendorf";"3-200-13";"Hofteich Bodendorf";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT00001MqQ_lin";"11.1";"4";"1.4";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"3-200-16-neuer-teich-in-bebertal";"3-200-16";"Neuer Teich in Bebertal";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00001LaJ";"426.6";"2";"46.8";"4";"Amtliches Feature wird von 4 LAV-Einträgen beansprucht; bleibt Review."
