"id";"lavNumber";"name";"type";"result";"anchor";"anchorRule";"distanceM";"officialName";"candidateCount";"nameScore";"gapM";"reason"
"6-110-05-alter-tagebau-gerlebogk";"6-110-05";"Alter Tagebau Gerlebogk";"Kiesgrube";"review";"Gerlebogk";"suffix1";"16.6";"";"9";"0.000";"329.4";"v11-Ortsanker 'Gerlebogk' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"6-110-13-saalealtarm-aderstedt";"6-110-13";"Saalealtarm Aderstedt";"Fließgewässer";"review";"Aderstedt";"suffix1";"184.8";"";"35";"0.000";"23.5";"v11-Ortsanker 'Aderstedt' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"6-110-15-groer-wiendorfer-teich";"6-110-15";"Großer Wiendorfer Teich";"Teich";"review";"Wiendorfer Teich";"suffix2";"142.4";"Großer Wiendorfer Teich";"8";"1.000";"163.6";"v11-Ortsanker 'Wiendorfer Teich' (suffix2) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"6-110-25-bebitzer-dorfteich";"6-110-25";"Bebitzer Dorfteich";"Teich";"review";"Dorfteich";"suffix1";"12.6";"";"2";"0.000";"171.5";"v11-Ortsanker 'Dorfteich' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"6-111-05-saalealtarm-nienburg";"6-111-05";"Saalealtarm Nienburg";"Fließgewässer";"review";"Nienburg";"suffix1";"345.7";"";"22";"0.000";"3.1";"v11-Ortsanker 'Nienburg' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"6-111-12-alter-schacht-pauline-neugatersleben-h-k-ro-s-4-00";"6-111-12";"Alter Schacht „Pauline“ Neugatersleben H, K, Ro, S 4,00";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-112-01-dorfteich-brundel";"6-112-01";"Dorfteich Bründel";"Teich";"review";"Bründel";"suffix1";"170.4";"";"2";"0.000";"94.5";"v11-Ortsanker 'Bründel' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"6-230-01-schloteiche-freckleben";"6-230-01";"Schloßteiche Freckleben";"Teich";"review";"Freckleben";"suffix1";"369.1";"";"2";"0.000";"69.0";"v11-Ortsanker 'Freckleben' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"6-400-03-jagerschacht-bei-glothe-brumby";"6-400-03";"Jägerschacht bei Glöthe-Brumby";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-400-22-elbe-von-km-305-km-320-beidseitig";"6-400-22";"Elbe von km 305 - km 320 beidseitig";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-400-35-elbealtarm-grunewalde";"6-400-35";"Elbealtarm Grünewalde";"Fließgewässer";"review";"Grünewalde";"suffix1";"218.4";"";"6";"0.000";"203.0";"v11-Ortsanker 'Grünewalde' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"6-400-40-awg-seen-1-2-und-3-gommern-plotzky";"6-400-40";"AWG Seen 1, 2 und 3 Gommern-Plötzky";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-400-45-gotzenthiegraben";"6-400-45";"Götzenthiegraben";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-400-46-westufer-albertinensee";"6-400-46";"Westufer Albertinensee";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-402-04-kiesgrube-barby-sud";"6-402-04";"Kiesgrube Barby-Süd";"Kiesgrube";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-410-02-warmsdorfer-teich";"6-410-02";"Warmsdorfer Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-410-18-steinbruch-borne";"6-410-18";"Steinbruch Borne";"See";"review";"Borne";"suffix1";"397.5";"";"2";"0.000";"24.0";"v11-Ortsanker 'Borne' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"6-410-22-regenruckhaltebecken-am";"6-410-22";"Regenrückhaltebecken am";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-410-24-loderburger-weiher";"6-410-24";"Löderburger Weiher";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-411-02-loderburger-see";"6-411-02";"Löderburger See";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-411-04-athenslebener-seen-lsg-beachten";"6-411-04";"Athenslebener Seen – LSG beachten";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-05-kurr-pouch";"7-120-05";"Kurr Pouch";"See";"review";"Pouch";"suffix1";"191.9";"Muldestausee";"2";"0.000";"601.6";"v11-Ortsanker 'Pouch' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
