"id";"lavNumber";"name";"district";"status";"confidence";"method";"latitude";"longitude";"locality";"candidateName";"distanceKm";"candidateAreaHa"
"7-273-02-baufeld-worbzig-2-kleinere-kiesgrube";"7-273-02";"Baufeld Wörbzig 2 - Kleinere Kiesgrube";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"";"";"";""
"7-273-03-baufeld-worbzig-3-kiesgrube-rechts";"7-273-03";"Baufeld Wörbzig 3 - Kiesgrube rechts-";"Anhalt-Bitterfeld";"review";"0.855";"locality-water-review";"51.7945407";"10.8310263";"rechts-";"";"0.52";""
"7-273-04-feldschlochen-bei-piethen";"7-273-04";"Feldschlößchen bei Piethen";"Anhalt-Bitterfeld";"review";"0.916";"locality-water-review";"51.675812";"11.9411837";"Piethen";"Feldschlösschen";"0.49";""
"7-273-05-karoline-bei-piethen-boote-ohne-motor";"7-273-05";"Karoline bei Piethen - Boote ohne Motor";"Anhalt-Bitterfeld";"review";"0.889";"locality-water-review";"51.6703744";"11.9352208";"Piethen";"";"0.31";""
"7-273-06-sohl-bei-piethen";"7-273-06";"Sohl bei Piethen";"Anhalt-Bitterfeld";"review";"0.889";"locality-water-review";"51.6703744";"11.9352208";"Piethen";"";"0.31";""
"7-273-07-betonwerkteich-3-4-bei-grobzig";"7-273-07";"Betonwerkteich 3 + 4 bei Gröbzig";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Gröbzig";"";"";""
"7-273-08-tagebau-edderitz-boote-ohne-motor";"7-273-08";"Tagebau Edderitz - Boote ohne Motor";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Motor";"";"";""
"7-273-09-sandkiete-ii-bei-grobzig";"7-273-09";"Sandkiete II bei Gröbzig";"Anhalt-Bitterfeld";"review";"0.864";"locality-water-review";"51.6794837";"11.8739599";"Gröbzig";"";"0.47";""
"7-273-10-schachtteich-bei-piethen";"7-273-10";"Schachtteich bei Piethen";"Anhalt-Bitterfeld";"review";"0.889";"locality-water-review";"51.6703744";"11.9352208";"Piethen";"";"0.31";""
"7-273-11-fuhne-von-einmundung-der-riede";"7-273-11";"Fuhne von Einmündung der Riede";"Anhalt-Bitterfeld";"review";"0.837";"locality-water-review";"51.5953834";"12.0811945";"Riede";"";"1.34";""
"7-273-12-sportplatzteich-in-gorzig";"7-273-12";"Sportplatzteich in Görzig";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Görzig";"";"";""
"7-273-15-augustateich-in-pfaffendorf";"7-273-15";"Augustateich in Pfaffendorf";"Anhalt-Bitterfeld";"review";"0.808";"locality-water-review";"51.7038233";"11.9016973";"Pfaffendorf";"";"0.8";""
"7-273-17-dorfteich-reinsdorf";"7-273-17";"Dorfteich Reinsdorf";"Anhalt-Bitterfeld";"review";"0.816";"locality-water-review";"51.6602206";"12.0017972";"Reinsdorf";"";"1.62";""
"7-273-18-pelzteich-gorzig";"7-273-18";"Pelzteich Görzig";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Görzig";"";"";""
"7-273-19-betonwerkteich-v-bei-grobzig";"7-273-19";"Betonwerkteich V bei Gröbzig";"Anhalt-Bitterfeld";"review";"0.897";"locality-water-review";"51.6851011";"11.8859843";"Gröbzig";"Betonwerkteich 1";"0.7";""
"7-273-20-teich-in-weddershausen";"7-273-20";"Teich in Weddershausen";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"";"";"";""
