V28 – 1000 m / complete-name >=60% matching
Base: visually confirmed V22.

Rule:
1. Angelatlas/LAV reference point.
2. Search named natural=water OSM Ways within max. 1000 m.
3. Compare COMPLETE normalized LAV and OSM names.
4. Do NOT remove See/Teich/Kiesgrube/etc.
5. Similarity must be >=60%.
6. Exactly ONE qualifying OSM Way is required.
7. Marker is taken from that exact OSM Way geometry in the local PBF.
8. Multiple >=60% candidates are deliberately NOT added.

Unique matches written: 186
Ambiguous cases not written: 14

stadionteich in köthen -> Stadionteich | way 26723579 | 254 m | similarity 70.6% | marker 51.7476286,11.9614105
unterer mühlenteich bei dobritz -> Untermühlenteich | way 892190386 | 477 m | similarity 68.1% | marker 52.0254345,12.2182283
gödnitzer see -> Gödnitzer See | way 168106290 | 914 m | similarity 100.0% | marker 51.9881642,11.9212601
großes loch bei steutz -> Großes Loch bei Steutz | way 639913913 | 128 m | similarity 100.0% | marker 51.8743184,12.0765897
pfaffensee bei steckby -> Pfaffensee | way 60844426 | 200 m | similarity 62.5% | marker 51.8875635,12.0316099
großer wehl bei steutz -> Großer Wehl | way 60846850 | 379 m | similarity 64.5% | marker 51.8675940,12.0593332
strohwalder teich gräfenhainichen -> Strohwalder Teich | way 613684754 | 158 m | similarity 68.0% | marker 51.7411320,12.4720981
buchholzteich gräfenhainichen -> Buchholzteich | way 159394203 | 95 m | similarity 61.9% | marker 51.7297588,12.4919461
gänseteich in söllichau -> Gänseteich | way 106873500 | 544 m | similarity 60.6% | marker 51.6242390,12.6462856
3 steinbruchteiche in möhlau -> Steinbruchseen | way 87079541 | 175 m | similarity 61.9% | marker 51.7206227,12.3585374
margaretenhofteich bei oranienbaum -> Margaretenhofteich | way 388193325 | 498 m | similarity 69.2% | marker 51.8061631,12.4029086
talkenloch bei kakau -> Talkenloch | way 159704954 | 297 m | similarity 66.7% | marker 51.7997802,12.4646620
stammhainigte bei wörlitz -> Stammhainigte | way 69673108 | 461 m | similarity 68.4% | marker 51.8559121,12.4309486
roter see bei rotta -> Roter See | way 14310162 | 431 m | similarity 64.3% | marker 51.7793858,12.5592233
schöpfwerk gerbisbach -> Schöpfwerksteich Gerbisbach | way 222931336 | 242 m | similarity 87.5% | marker 51.7500691,12.9652029
das loch annaburg -> Das Loch | way 56021042 | 629 m | similarity 64.0% | marker 51.7253145,13.0675330
wasserloch buro -> Wasserloch Klieken | way 86616075 | 262 m | similarity 66.7% | marker 51.8692444,12.4047801
dorfteich klieken -> Dorfteich Klieken | way 30981525 | 211 m | similarity 100.0% | marker 51.8878568,12.3694642
waldmühlenteich bei coswig -> Walkmühlenteich | way 32995888 | 236 m | similarity 68.3% | marker 51.8902879,12.4274885
streitlache bei pratau -> Streitlache | way 473839068 | 165 m | similarity 66.7% | marker 51.8491928,12.6296611
sandekolk bei pratau -> Sandekolk | way 59712809 | 462 m | similarity 62.1% | marker 51.8464896,12.6654983
durchstich bei pratau -> Durchstrich | way 33097590 | 266 m | similarity 62.5% | marker 51.8461645,12.6119168
bleddiner riß -> Bleddiner Riß | way 620417506 | 200 m | similarity 100.0% | marker 51.7932102,12.7941971
