lavNumber;catalogName;atlasName;latitude;longitude;featureId;geometryType;status
1-160-04;Stadtgraben in Gardelegen;Stadtgraben in Gardelegen;52.53;11.39;v_gewaesser.fid-36945e2d_19febabadac_6d23;MultiPolygon;AUTO_CANDIDATE
1-160-06;Wilhelmskanal von Straße;Wilhelmskanal von Straße Taterebrg-Miestehorst bis Mündung in die Ohre;52.45;11.14;v_gewaesser.fid-36945e2d_19febabadac_69a0;MultiPolygon;AUTO_CANDIDATE
1-160-14;Milde von Gardelegen-;Milde;52.61;11.39;v_gewaesser.fid-36945e2d_19febabadac_6d66;MultiPolygon;AUTO_CANDIDATE
1-160-16;Untere Milde von Wegebrücke;Untere Milde von Wegebrücke Kahrstedt/Karritz bis Mündung in die Milde;52.7;11.48;v_gewaesser.fid-36945e2d_19febabadac_69a1;MultiPolygon;AUTO_CANDIDATE
1-160-18;Untere Milde von Straßenbrücke;Untere Milde von Straßenbrücke Wustrewe/Zethlingen bis Winkelstedt;52.6866667;11.3266667;v_gewaesser.fid-36945e2d_19febabadac_69a2;MultiPolygon;AUTO_CANDIDATE
1-160-20;Königsgraben vom Abschlag;Königsgraben vom Abschlag Schenkenhorst bis Mündung in die Milde;52.64;11.41;v_gewaesser.fid-36945e2d_19febabadac_69a3;MultiPolygon;AUTO_CANDIDATE
1-160-22;Secantsgraben von Str.-Br. Kalbe/M. –;Secantsgraben von Str.-Br. Kalbe/M. – Neuendorf a. D. bis Mündung in die Milde;52.66;11.45;v_gewaesser.fid-36945e2d_19febabadac_69a4;MultiPolygon;AUTO_CANDIDATE
1-161-01;Teich am Anglerheim (Burggraben);Teich am Anglerheim (Burggraben) in Kalbe/Milde;52.65;11.39;v_gewaesser.fid-36945e2d_19febabadac_6d32;MultiPolygon;AUTO_CANDIDATE
1-161-02;Milde von Kalbe (Straßenbrücke);Milde von Kalbe (Straßenbrücke) bis Eimündung des Secantsgraben;52.6633334;11.4566667;v_gewaesser.fid-36945e2d_19febabadac_6dda;MultiPolygon;AUTO_CANDIDATE
1-161-03;Untere Milde von Winkelstedt;Untere Milde von Winkelstedt bis Brücke Kahrstedt-Karritz;52.6733333;11.3533333;v_gewaesser.fid-36945e2d_19febabadac_69a7;MultiPolygon;AUTO_CANDIDATE
1-260-03;Wasserbecken am Schlammgraben;Wasserbecken am Schlammgraben bei Kusey;52.55;11.1;v_gewaesser.fid-36945e2d_19febabadac_6a1e;MultiPolygon;AUTO_CANDIDATE
1-260-11;Jeetze von Dorfstraße im Amt;Jeetze von Dorfstraße im Amt Dambeck bis Landesgrenze;52.8488889;11.1633333;v_gewaesser.fid-36945e2d_19febabadac_6da3;MultiPolygon;LOCKED
1-260-14;Ohre in Steimke;Ohre in Steimke;52.58;10.98;v_gewaesser.fid-36945e2d_19febabadac_6c89;MultiPolygon;LOCKED
